牌号,年份,轮次,选手码,关卡外号,评语1,评语作者1,评语2,评语作者2
D3,2013,G3,D4,库巴的复仇,欣赏性上，第一关的库巴卡在草地里要扣一点分。挑战性与娱乐性完全可以给一个高分。创新性自己看图就知道了，不用我多说。,newlife2017,,
D4,2013,G4,D1,,这关我玩了以后，十分感叹：神作啊！关卡内全部封顶，水与各种陆地怪物配合，难而不乱，使这关增添了许多挑战性。关卡内的藤蔓做的很不错，给这关带来了许多意境，巨好评。,123568024,,
D5,2017,P1,d2,,总体来说本关是一个难度较高又很值得一玩的关卡，从各方面看都十分出色，是个高质量的好关。,马里奥奥里马,,
D6,2014,G2,A4,,这关虽然在一些细节方面有些小小的瑕疵，但是这关整体非常的帅气，一些大设计的创意也不错，非常亮眼。有很强的挑战性，也有很强的娱乐性，让人玩了以后还想玩。,马里奥奥里马,,
D7,2019,G1,B3,法礼帝国,总体来说，这关虽不拘小节，不修边幅，但设计绝妙，结构精巧，对新素材、新工具有着透彻理解，并能充分运用，灰刺猬的设计丰富、多样化，对主题充分体现，是MW杯中不可多得的精品关卡。,123568024,,
D8,2019,Q,2B,地狱,本关关卡结构百转千回，加上较精妙的细节设计，非常强大。,LLX奶油马里奥,,
D9,2018,P1,d1,世界杯,RR电视台，RR电视台。\n我们正位于2018年世界杯，总决赛的现场，莫斯科卢日尼基球场，下半场比赛马上就要开始了。,R大次郎,,
D10,2019,F,W,核冬天,本关可谓结构十分宏大，充满了探索与解密的气氛，核冬天末日的氛围也营造的非常好。,LLX奶油马里奥,,
D11,2018,G3,B2,赤焰序曲,本关是一个挑战关，流程长，分量足，难度亲民，音乐激昂，适合各水平层次的玩家一玩，绝对能让你爽到！,马里奥奥里马,,
D12,2014,P1,c4,,本关的主要逻辑就是先绕开挡道的飞龟，找到3个通道分别进入3个密室利用重叠飞龟顶开隐藏砖，然后把红龟龟壳沿着道路踢过来撞死挡在路口的飞龟，最后马里奥从这个路口进来挑战库巴。整关的逻辑结构严谨巧妙。,nmnmoooh,,
D13,2014,S,A,流转起舞,这关难度不算大，但是挑战性和娱乐性都比较强。而这关的三种敌人作者对探照灯运用的比较多，其他敌人作为陪衬。进入水管通关的设计也没有问题，比较完美，是一个好关。,马里奥奥里马,,
